Site,water_size_mm,Site,sediment_size_mm
C1W,1.4219,C1S,0.41315
C1W,0.68087,C1S,0.92453
C1W,0.72445,C1S,0.31149
C1W,1.14347,C1S,0.13553
C2W,0.22857,C1S,0.76899
C2W,0.247,C1S,0.76735
C2W,0.39077,C1S,2.00979
C2W,1.32057,C1S,0.58705
C2W,0.84052,C1S,0.85519
C2W,0.10749,C1S,1.68017
C2W,0.46241,C2S,1.22865
C3W,0.24217,C2S,0.14866
C4W,0.57404,C2S,0.46594
C4W,0.36691,C2S,0.69023
C4W,0.44198,C2S,0.61273
C5WR1,1.1145,C2S,0.5842
C5WR1,0.67484,C2S,0.57701
C5WR3,0.33762,C2S,0.58388
C5WR3,0.35143,C2S,0.67596
C5WR3,0.2401,C2S,1.23244
C5WR3,0.48795,C2S,1.02845
C5WR3,1.530906977,C2S,2.66636
C5WR3,1.348627907,C2S,3.10765
C5WR3,0.70952,C2S,1.05055
C6W,0.51424,C2S,0.27034
C6W,0.60047,C2S,0.58298
C6W,0.48926,C2S,0.83661
C6W,0.35409,C2S,0.9071
C6W,0.22936,C3S,0.61065
C7W,0.2235,C3S,1.22502
C10W,3.014953488,C3S,0.85179
C10W,0.3228,C3S,0.55004
C10W,0.41074,C3S,0.14637
C10W,0.49821,C3S,0.62114
C10W,0.59536,C4S,0.16164
C11W,4.217186047,C4S,1.53526
C12W,0.41277,C4S,1.22912
C12W,0.32568,C4S,1.18092
C12W,0.19815,C4S,0.20261
C13W,0.17886,C4S,2.57742
C13W,,C5S,0.67796
C14W,,C5S,0.39497
C16W,0.113,C5S,3.569393939
C16W,0.44568,C5S,2.36937
C16W,0.33253,C5S,0.5907
C16W,1.07468,C5S,0.86182
C16W,0.84285,C5S,0.85504
C16W,0.82513,C5S,0.48956
C16W,1.27339,C5S,3.87258
C17W,0.44045,C5S,1.24355
C17W,0.27409,C5S,0.41636
C17W,0.80069,C5S,1.34648
C17W,0.72178,C6S,0.31678
C18W,0.52212,C6S,0.4366
C18W,0.20376,C6S,0.23187
C18W,0.87907,C6S,0.80015
C18W,0.58081,C6S,0.20025
C18W,0.10599,C7S,0.1077
C18W,0.3542,C7S,0.81242
C19W,0.51634,C7S,0.32528
C19W,0.18507,C7S,0.39535
C19W,2.02648,C7S,0.76428
C19W,0.216,C8S,0.579
C19W,4.18244186,C8S,0.21809
C20W,0.40099,C8S,1.72405
C20W,0.19937,C8S,1.1832
C20W,0.73859,C8S,0.89233
C20W,0.65464,C8S,0.43084
C20W,1.09964,C9S,0.54651
C20W,0.68213,C9S,0.74062
C21W,0.25722,C9S,2.38818
C21W,1.31386,C9S,0.19943
C21W,2.14994,C10S,0.45435
C22W,1.9067,C10S,0.12454
C22W,1.29163,C10S,0.27896
C22W,0.29874,C10S,1.27929
C22W,2.430813953,C10S,1.29645
C23W,0.70511,C10S,0.16572
C23W,0.9535,C10S,0.78173
C23W,0.43588,C10S,0.29187
C23W,0.73485,C10S,0.2793
C23W,0.3216,C10S,0.22592
C23W,1.68722,C10S,0.44283
C23W,0.47128,C10S,0.47181
C23W,1.44392,C10S,0.65177
C23W,0.36189,C11S,0.86667
C23W,0.07463,C11S,1.26699
C24W,0.39462,C11S,0.3227
C24W,3.36739,C11S,1.02026
C24W,0.18462,C11S,1.08991
C24W,0.17552,C11S,1.34984
C24W,3.021,C11S,1.66532
C24W,0.75226,C11S,1.02519
,,C11S,0.13354
,,C12S,0.94214
,,C12S,1.15392
,,C12S,1.62596
,,C12S,0.36195
,,C12S,0.35404
,,C12S,0.51368
,,C12S,1.56532
,,C12S,0.51798
,,C12S,0.56649
,,C12S,2.02001
,,C13S,0.23945
,,C14S,0.47402
,,C14S,
,,C14S,1.05958
,,C14S,1.38521
,,C14S,0.24861
,,C14S,4.495090909
,,C15S,0.57374
,,C15S,0.31283
,,C15S,0.59778
,,C15S,0.96124
,,C15S,3.627227273
,,C15S,0.3153
,,C15S,0.3844
,,C15S,0.61913
,,C16S,0.994074074
,,C16S,0.5435
,,C16S,2.32916
,,C16S,0.39433
,,C16S,0.65572
,,C16S,0.64034
,,C16S,0.56715
,,C16S,0.51384
,,C16S,0.40179
,,C16S,0.48515
,,C16S,0.57169
,,C16S,0.374
,,C16S,0.99929
,,C16S,0.70118
,,C17S,1.75559
,,C17S,0.63375
,,C17S,1.66847
,,C17S,1.80159
,,C17S,0.35675
,,C17S,1.50898
,,C18S,0.31652
,,C18S,1.09785
,,C18S,0.33482
,,C18S,0.3714
,,C18S,0.5681
,,C18S,1.02075
,,C18S,0.68952
,,C18S,0.46034
,,C18S,0.49981
,,C18S,1.91356
,,C18S,0.46583
,,C18S,0.29999
,,C18S,0.39201
,,C19S,1.00694
,,C19S,0.5967
,,C19S,2.496787879
,,C19S,0.58111
,,C19S,1.17819697
,,C19S,0.98069
,,C19S,0.53252
,,C19S,0.64874
,,C19S,1.17196
,,C20S,0.22225
,,C20S,0.58041
,,C20S,2.22036
,,C20S,0.97952
,,C20S,0.60977
,,C20S,0.55079
,,C21S,0.39553
,,C21S,1.44943
,,C21S,0.33704
,,C21S,1.06817
